Model,Accuracy,"Recall (Placed, class=1)","Precision (Placed, class=1)","Recall (AT-RISK, class=0)","Precision (AT-RISK, class=0)",F1 (weighted),ROC-AUC
Logistic Regression,0.7965,0.8104886769964244,0.7327586206896551,0.7863910422049957,0.851679104477612,0.7975695105394186,0.8836182691547605
Random Forest,0.789,0.7806912991656734,0.7334826427771557,0.7950043066322137,0.8337850045167118,0.7897773562080722,0.8749998716736529
XGBoost,0.7855,0.7842669845053635,0.7262693156732892,0.7863910422049957,0.8345521023765996,0.7864313229436021,0.8684388021916087
